ID,ZIP,CITY,STATE,LAT,LONG
8729,20860,"SANDY SPRING",MD,39.14,-77.02
8730,20861,"ASHTON",MD,39.15,-76.98
8731,20862,"BRINKLOW",MD,39.18,-77.01
8732,20866,"BURTONSVILLE",MD,39.11,-76.93
8733,20868,"SPENCERVILLE",MD,39.12,-76.96
8734,20871,"CLARKSBURG",MD,39.23,-77.27
8735,20872,"DAMASCUS",MD,39.27,-77.2
8736,20874,"GERMANTOWN",MD,39.17,-77.26
8737,20875,"GERMANTOWN",MD,39.17,-77.26
8738,20876,"GERMANTOWN",MD,39.17,-77.26
8739,20877,"GAITHERSBURG",MD,39.14,-77.21
8740,20878,"GAITHERSBURG",MD,39.14,-77.21
8741,20879,"GAITHERSBURG",MD,39.14,-77.21
8742,20880,"WASHINGTON GROVE",MD,39.14,-77.17
8743,20882,"GAITHERSBURG",MD,39.14,-77.21
8744,20883,"GAITHERSBURG",MD,39.17,-77.19
8745,20884,"GAITHERSBURG",MD,39.14,-77.21
8746,20885,"GAITHERSBURG",MD,39.14,-77.21
8747,20886,"MONTGOMERY VILLAGE",MD,39.18,-77.19
8748,20889,"BETHESDA",MD,38.98,-77.12
8749,20891,"KENSINGTON",MD,39.02,-77.07
8750,20892,"BETHESDA",MD,38.98,-77.12
8751,20894,"BETHESDA",MD,38.98,-77.12
8752,20895,"KENSINGTON",MD,39.02,-77.07
8753,20896,"GARRETT PARK",MD,39.03,-77.09
8754,20897,"SUBURB MARYLAND FAC",MD,39.08,-77.05
8755,20898,"GAITHERSBURG",MD,39.14,-77.21
8756,20899,"GAITHERSBURG",MD,39.14,-77.21
8757,20901,"SILVER SPRING",MD,39.01,-77.02
8758,20902,"SILVER SPRING",MD,39.01,-77.02
8759,20903,"SILVER SPRING",MD,39.01,-77.02
8760,20904,"SILVER SPRING",MD,39.01,-77.02
8761,20905,"SILVER SPRING",MD,39.01,-77.02
8762,20906,"SILVER SPRING",MD,39.01,-77.02
8763,20907,"SILVER SPRING",MD,39.01,-77.02
8764,20908,"SILVER SPRING",MD,39.01,-77.02
8765,20910,"SILVER SPRING",MD,39.01,-77.02
8766,20911,"SILVER SPRING",MD,39.01,-77.02
8767,20912,"TAKOMA PARK",MD,38.98,0
8768,20913,"TAKOMA PARK",MD,38.98,0
8769,20914,"SILVER SPRING",MD,39.01,-77.02
8770,20915,"SILVER SPRING",MD,39.01,-77.02
8771,20916,"SILVER SPRING",MD,39.01,-77.02
8772,20918,"SILVER SPRING",MD,39.01,-77.02
8773,20993,"SILVER SPRING",MD,39.03,-76.98
8774,20997,"SILVER SPRING",MD,39.01,-77.02
8775,21001,"ABERDEEN",MD,39.51,-76.17
8776,21005,"ABERDEEN PROVING GROUND",MD,39.47,-76.13
8777,21009,"ABINGDON",MD,39.46,-76.27
8778,21010,"GUNPOWDER",MD,39.41,-76.38
8779,21012,"ARNOLD",MD,39.04,-76.49
8780,21013,"BALDWIN",MD,39.51,-76.49
8781,21014,"BEL AIR",MD,39.53,-76.34
8782,21015,"BEL AIR",MD,39.53,-76.34
8783,21017,"BELCAMP",MD,39.46,-76.23
8784,21018,"BENSON",MD,39.51,-76.18
8785,21020,"BORING",MD,39.57,-76.8
8786,21022,"BROOKLANDVILLE",MD,39.42,-76.67
8787,21023,"BUTLER",MD,39.55,-76.68
8788,21027,"CHASE",MD,39.36,-76.37
8789,21028,"CHURCHVILLE",MD,39.56,-76.24
8790,21029,"CLARKSVILLE",MD,39.2,-76.94
8791,21030,"COCKEYSVILLE",MD,39.47,-76.63
8792,21031,"HUNT VALLEY",MD,39.49,-76.65
8793,21032,"CROWNSVILLE",MD,39.01,-76.59
8794,21034,"DARLINGTON",MD,39.63,-76.2
8795,21035,"DAVIDSONVILLE",MD,38.93,-76.63
8796,21036,"DAYTON",MD,39.23,-76.98
8797,21037,"EDGEWATER",MD,38.9,-76.54
8798,21040,"EDGEWOOD",MD,39.42,-76.29
8799,21041,"ELLICOTT CITY",MD,39.27,-76.83
8800,21042,"ELLICOTT CITY",MD,39.27,-76.83
8801,21043,"ELLICOTT CITY",MD,39.27,-76.83
8802,21044,"COLUMBIA",MD,39.2,-76.85
8803,21045,"COLUMBIA",MD,39.2,-76.85
8804,21046,"COLUMBIA",MD,39.2,-76.85
8805,21047,"FALLSTON",MD,39.52,-76.42
8806,21048,"FINKSBURG",MD,39.49,-76.88
8807,21050,"FOREST HILL",MD,39.58,-76.39
8808,21051,"FORK",MD,39.47,-76.45
8809,21052,"FORT HOWARD",MD,39.2,-76.44
8810,21053,"FREELAND",MD,39.69,-76.72
8811,21054,"GAMBRILLS",MD,39.05,-76.66
8812,21056,"GIBSON ISLAND",MD,39.07,-76.42
8813,21057,"GLEN ARM",MD,39.44,-76.5
8814,21060,"GLEN BURNIE",MD,39.16,-76.6
8815,21061,"GLEN BURNIE",MD,39.16,-76.6
8816,21062,"GLEN BURNIE",MD,39.16,-76.6
8817,21065,"HUNT VALLEY",MD,39.49,-76.65
8818,21071,"GLYNDON",MD,39.47,-76.81
8819,21074,"HAMPSTEAD",MD,39.61,-76.85
8820,21075,"ELKRIDGE",MD,39.2,-76.75
8821,21076,"HANOVER",MD,39.16,-76.72
8822,21077,"HARMANS",MD,39.16,-76.72
8823,21078,"HAVRE DE GRACE",MD,39.54,-76.09
8824,21082,"HYDES",MD,39.48,-76.47
8825,21084,"JARRETTSVILLE",MD,39.6,-76.47
8826,21085,"JOPPA",MD,39.43,-76.35
8827,21087,"KINGSVILLE",MD,39.44,-76.41
8828,21088,"LINEBORO",MD,39.71,-76.84
8829,21090,"LINTHICUM HEIGHTS",MD,39.2,-76.66
8830,21092,"LONG GREEN",MD,39.47,-76.52
8831,21093,"LUTHERVILLE TIMONIUM",MD,39.43,-76.64
8832,21094,"LUTHERVILLE TIMONIUM",MD,39.43,-76.64
8833,21098,"HANOVER",MD,39.19,-76.72
8834,21102,"MANCHESTER",MD,39.65,-76.89
8835,21104,"MARRIOTTSVILLE",MD,39.35,-76.89
8836,21105,"MARYLAND LINE",MD,39.69,-76.71
8837,21106,"MAYO",MD,38.89,-76.5
8838,21108,"MILLERSVILLE",MD,39.05,-76.64
8839,21111,"MONKTON",MD,39.57,-76.58
8840,21113,"ODENTON",MD,39.06,-76.69
8841,21114,"CROFTON",MD,39.01,-76.68
8842,21117,"OWINGS MILLS",MD,39.41,-76.79
8843,21120,"PARKTON",MD,39.65,-76.67
8844,21122,"PASADENA",MD,39.11,-76.55
8845,21123,"PASADENA",MD,39.11,-76.55
8846,21128,"PERRY HALL",MD,39.4,-76.47
8847,21130,"PERRYMAN",MD,39.46,-76.2
8848,21131,"PHOENIX",MD,39.5,-76.56
8849,21132,"PYLESVILLE",MD,39.68,-76.37
8850,21133,"RANDALLSTOWN",MD,39.37,-76.8
8851,21136,"REISTERSTOWN",MD,39.45,-76.81
8852,21139,"RIDERWOOD",MD,39.4,-76.6
8853,21140,"RIVA",MD,38.94,-76.58
8854,21144,"SEVERN",MD,39.13,-76.69
8855,21146,"SEVERNA PARK",MD,39.08,-76.57
8856,21150,"SIMPSONVILLE",MD,39.18,-76.88
8857,21152,"SPARKS GLENCOE",MD,39.54,-76.68
8858,21153,"STEVENSON",MD,39.42,-76.7
8859,21154,"STREET",MD,39.65,-76.34
8860,21155,"UPPERCO",MD,39.57,-76.8
8861,21156,"UPPER FALLS",MD,39.43,-76.4
8862,21157,"WESTMINSTER",MD,39.57,0
8863,21158,"WESTMINSTER",MD,39.57,0
8864,21160,"WHITEFORD",MD,39.7,-76.34
8865,21161,"WHITE HALL",MD,39.65,-76.56
8866,21162,"WHITE MARSH",MD,39.38,-76.45
8867,21163,"WOODSTOCK",MD,39.32,-76.87
8868,21201,"BALTIMORE",MD,39.3,-76.61
8869,21202,"BALTIMORE",MD,39.3,-76.61
8870,21203,"BALTIMORE",MD,39.3,-76.61
8871,21204,"TOWSON",MD,39.39,-76.62
8872,21205,"BALTIMORE",MD,39.3,-76.61
8873,21206,"BALTIMORE",MD,39.3,-76.61
8874,21207,"GWYNN OAK",MD,39.32,-76.72
8875,21208,"PIKESVILLE",MD,39.39,-76.7
8876,21209,"BALTIMORE",MD,39.3,-76.61
8877,21210,"BALTIMORE",MD,39.3,-76.61
8878,21211,"BALTIMORE",MD,39.3,-76.61
8879,21212,"BALTIMORE",MD,39.3,-76.61
8880,21213,"BALTIMORE",MD,39.3,-76.61
8881,21214,"BALTIMORE",MD,39.3,-76.61
8882,21215,"BALTIMORE",MD,39.3,-76.61
8883,21216,"BALTIMORE",MD,39.3,-76.61
8884,21217,"BALTIMORE",MD,39.3,-76.61
8885,21218,"BALTIMORE",MD,39.3,-76.61
8886,21219,"SPARROWS POINT",MD,39.22,-76.43
8887,21220,"MIDDLE RIVER",MD,39.33,-76.43
8888,21221,"ESSEX",MD,39.3,-76.44
8889,21222,"DUNDALK",MD,39.26,-76.49
8890,21223,"BALTIMORE",MD,39.3,-76.61
8891,21224,"BALTIMORE",MD,39.3,-76.61
8892,21225,"BROOKLYN",MD,39.22,-76.61
8893,21226,"CURTIS BAY",MD,39.21,-76.55
8894,21227,"HALETHORPE",MD,39.21,-76.72
8895,21228,"CATONSVILLE",MD,39.26,-76.74
8896,21229,"BALTIMORE",MD,39.3,-76.61
8897,21230,"BALTIMORE",MD,39.3,-76.61
8898,21231,"BALTIMORE",MD,39.3,-76.61
8899,21233,"BALTIMORE",MD,39.3,-76.61
8900,21234,"PARKVILLE",MD,39.38,-76.55
8901,21235,"BALTIMORE",MD,39.3,-76.61
8902,21236,"NOTTINGHAM",MD,39.38,-76.48
8903,21237,"ROSEDALE",MD,39.32,-76.5
8904,21239,"BALTIMORE",MD,39.3,-76.61
8905,21240,"BALTIMORE",MD,39.3,-76.61
